date,GSCPI,USCS,USUR,USIR,USPCE,covid_new_cases,weather,holiday
5/28/17,-0.0815,97.1,4.4,0.0187,13117.6,0,0,0
5/29/17,-0.0815,97.1,4.4,0.0187,13117.6,0,0,0
5/30/17,-0.0815,97.1,4.4,0.0187,13117.6,0,0,0
5/31/17,-0.0815,97.1,4.4,0.0187,13117.6,0,0,0
6/1/17,0.1432,95,4.3,0.0163,13170.3,0,0,0
6/2/17,0.1432,95,4.3,0.0163,13170.3,0,0,0
6/3/17,0.1432,95,4.3,0.0163,13170.3,0,0,0
6/4/17,0.1432,95,4.3,0.0163,13170.3,0,0,0
6/5/17,0.1432,95,4.3,0.0163,13170.3,0,0,0
6/6/17,0.1432,95,4.3,0.0163,13170.3,0,0,0
6/7/17,0.1432,95,4.3,0.0163,13170.3,0,0,0
6/8/17,0.1432,95,4.3,0.0163,13170.3,0,0,0
6/9/17,0.1432,95,4.3,0.0163,13170.3,0,1,0
6/10/17,0.1432,95,4.3,0.0163,13170.3,0,1,0
6/11/17,0.1432,95,4.3,0.0163,13170.3,0,1,0
6/12/17,0.1432,95,4.3,0.0163,13170.3,0,1,0
6/13/17,0.1432,95,4.3,0.0163,13170.3,0,1,0
6/14/17,0.1432,95,4.3,0.0163,13170.3,0,1,0
6/15/17,0.1432,95,4.3,0.0163,13170.3,0,1,0
6/16/17,0.1432,95,4.3,0.0163,13170.3,0,1,0
6/17/17,0.1432,95,4.3,0.0163,13170.3,0,0,0
6/18/17,0.1432,95,4.3,0.0163,13170.3,0,0,0
6/19/17,0.1432,95,4.3,0.0163,13170.3,0,0,0
6/20/17,0.1432,95,4.3,0.0163,13170.3,0,0,0
6/21/17,0.1432,95,4.3,0.0163,13170.3,0,0,0
6/22/17,0.1432,95,4.3,0.0163,13170.3,0,0,0
6/23/17,0.1432,95,4.3,0.0163,13170.3,0,0,0
6/24/17,0.1432,95,4.3,0.0163,13170.3,0,0,0
6/25/17,0.1432,95,4.3,0.0163,13170.3,0,0,0
6/26/17,0.1432,95,4.3,0.0163,13170.3,0,0,0
6/27/17,0.1432,95,4.3,0.0163,13170.3,0,1,0
6/28/17,0.1432,95,4.3,0.0163,13170.3,0,1,0
6/29/17,0.1432,95,4.3,0.0163,13170.3,0,1,0
6/30/17,0.1432,95,4.3,0.0163,13170.3,0,0,0
7/1/17,0.1461,93.4,4.3,0.0173,13193.5,0,0,0
7/2/17,0.1461,93.4,4.3,0.0173,13193.5,0,0,0
7/3/17,0.1461,93.4,4.3,0.0173,13193.5,0,0,0
7/4/17,0.1461,93.4,4.3,0.0173,13193.5,0,0,0
7/5/17,0.1461,93.4,4.3,0.0173,13193.5,0,0,0
7/6/17,0.1461,93.4,4.3,0.0173,13193.5,0,0,0
7/7/17,0.1461,93.4,4.3,0.0173,13193.5,0,0,0
7/8/17,0.1461,93.4,4.3,0.0173,13193.5,0,0,0
7/9/17,0.1461,93.4,4.3,0.0173,13193.5,0,0,0
7/10/17,0.1461,93.4,4.3,0.0173,13193.5,0,0,0
7/11/17,0.1461,93.4,4.3,0.0173,13193.5,0,0,0
7/12/17,0.1461,93.4,4.3,0.0173,13193.5,0,0,0
7/13/17,0.1461,93.4,4.3,0.0173,13193.5,0,0,0
7/14/17,0.1461,93.4,4.3,0.0173,13193.5,0,0,0
7/15/17,0.1461,93.4,4.3,0.0173,13193.5,0,0,0
7/16/17,0.1461,93.4,4.3,0.0173,13193.5,0,0,0
7/17/17,0.1461,93.4,4.3,0.0173,13193.5,0,0,0
7/18/17,0.1461,93.4,4.3,0.0173,13193.5,0,0,0
7/19/17,0.1461,93.4,4.3,0.0173,13193.5,0,0,0
7/20/17,0.1461,93.4,4.3,0.0173,13193.5,0,0,0
7/21/17,0.1461,93.4,4.3,0.0173,13193.5,0,0,0
7/22/17,0.1461,93.4,4.3,0.0173,13193.5,0,0,0
7/23/17,0.1461,93.4,4.3,0.0173,13193.5,0,0,0
7/24/17,0.1461,93.4,4.3,0.0173,13193.5,0,0,0
7/25/17,0.1461,93.4,4.3,0.0173,13193.5,0,0,0
7/26/17,0.1461,93.4,4.3,0.0173,13193.5,0,0,0
7/27/17,0.1461,93.4,4.3,0.0173,13193.5,0,0,0
7/28/17,0.1461,93.4,4.3,0.0173,13193.5,0,0,0
7/29/17,0.1461,93.4,4.3,0.0173,13193.5,0,0,0
7/30/17,0.1461,93.4,4.3,0.0173,13193.5,0,0,0
7/31/17,0.1461,93.4,4.3,0.0173,13193.5,0,0,0
8/1/17,0.4416,96.8,4.4,0.0194,13234.1,0,0,0
8/2/17,0.4416,96.8,4.4,0.0194,13234.1,0,0,0
8/3/17,0.4416,96.8,4.4,0.0194,13234.1,0,0,0
8/4/17,0.4416,96.8,4.4,0.0194,13234.1,0,0,0
8/5/17,0.4416,96.8,4.4,0.0194,13234.1,0,0,0
8/6/17,0.4416,96.8,4.4,0.0194,13234.1,0,0,0
8/7/17,0.4416,96.8,4.4,0.0194,13234.1,0,0,0
8/8/17,0.4416,96.8,4.4,0.0194,13234.1,0,0,0
8/9/17,0.4416,96.8,4.4,0.0194,13234.1,0,0,0
8/10/17,0.4416,96.8,4.4,0.0194,13234.1,0,0,0
8/11/17,0.4416,96.8,4.4,0.0194,13234.1,0,0,0
8/12/17,0.4416,96.8,4.4,0.0194,13234.1,0,0,0
8/13/17,0.4416,96.8,4.4,0.0194,13234.1,0,0,0
8/14/17,0.4416,96.8,4.4,0.0194,13234.1,0,0,0
8/15/17,0.4416,96.8,4.4,0.0194,13234.1,0,0,0
8/16/17,0.4416,96.8,4.4,0.0194,13234.1,0,0,0
8/17/17,0.4416,96.8,4.4,0.0194,13234.1,0,0,0
8/18/17,0.4416,96.8,4.4,0.0194,13234.1,0,0,0
8/19/17,0.4416,96.8,4.4,0.0194,13234.1,0,0,0
8/20/17,0.4416,96.8,4.4,0.0194,13234.1,0,0,0
8/21/17,0.4416,96.8,4.4,0.0194,13234.1,0,0,0
8/22/17,0.4416,96.8,4.4,0.0194,13234.1,0,0,0
8/23/17,0.4416,96.8,4.4,0.0194,13234.1,0,0,0
8/24/17,0.4416,96.8,4.4,0.0194,13234.1,0,0,0
8/25/17,0.4416,96.8,4.4,0.0194,13234.1,0,1,0
8/26/17,0.4416,96.8,4.4,0.0194,13234.1,0,1,0
8/27/17,0.4416,96.8,4.4,0.0194,13234.1,0,1,0
8/28/17,0.4416,96.8,4.4,0.0194,13234.1,0,1,0
8/29/17,0.4416,96.8,4.4,0.0194,13234.1,0,1,0
8/30/17,0.4416,96.8,4.4,0.0194,13234.1,0,1,0
8/31/17,0.4416,96.8,4.4,0.0194,13234.1,0,1,0
9/1/17,0.5476,95.1,4.3,0.0223,13353.4,0,0,0
9/2/17,0.5476,95.1,4.3,0.0223,13353.4,0,0,0
9/3/17,0.5476,95.1,4.3,0.0223,13353.4,0,0,0
9/4/17,0.5476,95.1,4.3,0.0223,13353.4,0,0,0
9/5/17,0.5476,95.1,4.3,0.0223,13353.4,0,0,0
9/6/17,0.5476,95.1,4.3,0.0223,13353.4,0,1,0
9/7/17,0.5476,95.1,4.3,0.0223,13353.4,0,1,0
9/8/17,0.5476,95.1,4.3,0.0223,13353.4,0,1,0
9/9/17,0.5476,95.1,4.3,0.0223,13353.4,0,1,0
9/10/17,0.5476,95.1,4.3,0.0223,13353.4,0,1,0
9/11/17,0.5476,95.1,4.3,0.0223,13353.4,0,1,0
9/12/17,0.5476,95.1,4.3,0.0223,13353.4,0,1,0
9/13/17,0.5476,95.1,4.3,0.0223,13353.4,0,0,0
9/14/17,0.5476,95.1,4.3,0.0223,13353.4,0,0,0
9/15/17,0.5476,95.1,4.3,0.0223,13353.4,0,0,0
9/16/17,0.5476,95.1,4.3,0.0223,13353.4,0,0,0
9/17/17,0.5476,95.1,4.3,0.0223,13353.4,0,0,0
9/18/17,0.5476,95.1,4.3,0.0223,13353.4,0,0,0
9/19/17,0.5476,95.1,4.3,0.0223,13353.4,0,1,0
9/20/17,0.5476,95.1,4.3,0.0223,13353.4,0,1,0
9/21/17,0.5476,95.1,4.3,0.0223,13353.4,0,1,0
9/22/17,0.5476,95.1,4.3,0.0223,13353.4,0,0,0
9/23/17,0.5476,95.1,4.3,0.0223,13353.4,0,0,0
9/24/17,0.5476,95.1,4.3,0.0223,13353.4,0,0,0
9/25/17,0.5476,95.1,4.3,0.0223,13353.4,0,0,0
9/26/17,0.5476,95.1,4.3,0.0223,13353.4,0,0,0
9/27/17,0.5476,95.1,4.3,0.0223,13353.4,0,0,0
9/28/17,0.5476,95.1,4.3,0.0223,13353.4,0,0,0
9/29/17,0.5476,95.1,4.3,0.0223,13353.4,0,0,0
9/30/17,0.5476,95.1,4.3,0.0223,13353.4,0,0,0
10/1/17,0.803,100.7,4.2,0.0204,13383.4,0,0,0
10/2/17,0.803,100.7,4.2,0.0204,13383.4,0,0,0
10/3/17,0.803,100.7,4.2,0.0204,13383.4,0,0,0
10/4/17,0.803,100.7,4.2,0.0204,13383.4,0,0,0
10/5/17,0.803,100.7,4.2,0.0204,13383.4,0,0,0
10/6/17,0.803,100.7,4.2,0.0204,13383.4,0,0,0
10/7/17,0.803,100.7,4.2,0.0204,13383.4,0,0,0
10/8/17,0.803,100.7,4.2,0.0204,13383.4,0,0,0
10/9/17,0.803,100.7,4.2,0.0204,13383.4,0,0,0
10/10/17,0.803,100.7,4.2,0.0204,13383.4,0,0,0
10/11/17,0.803,100.7,4.2,0.0204,13383.4,0,0,0
10/12/17,0.803,100.7,4.2,0.0204,13383.4,0,0,0
10/13/17,0.803,100.7,4.2,0.0204,13383.4,0,0,0
10/14/17,0.803,100.7,4.2,0.0204,13383.4,0,0,0
10/15/17,0.803,100.7,4.2,0.0204,13383.4,0,0,0
10/16/17,0.803,100.7,4.2,0.0204,13383.4,0,0,0
10/17/17,0.803,100.7,4.2,0.0204,13383.4,0,0,0
10/18/17,0.803,100.7,4.2,0.0204,13383.4,0,0,0
10/19/17,0.803,100.7,4.2,0.0204,13383.4,0,0,0
10/20/17,0.803,100.7,4.2,0.0204,13383.4,0,0,0
10/21/17,0.803,100.7,4.2,0.0204,13383.4,0,0,0
10/22/17,0.803,100.7,4.2,0.0204,13383.4,0,0,0
10/23/17,0.803,100.7,4.2,0.0204,13383.4,0,0,0
10/24/17,0.803,100.7,4.2,0.0204,13383.4,0,0,0
10/25/17,0.803,100.7,4.2,0.0204,13383.4,0,0,0
10/26/17,0.803,100.7,4.2,0.0204,13383.4,0,0,0
10/27/17,0.803,100.7,4.2,0.0204,13383.4,0,0,0
10/28/17,0.803,100.7,4.2,0.0204,13383.4,0,0,0
10/29/17,0.803,100.7,4.2,0.0204,13383.4,0,0,1
10/30/17,0.803,100.7,4.2,0.0204,13383.4,0,0,1
10/31/17,0.803,100.7,4.2,0.0204,13383.4,0,0,1
11/1/17,0.8602,98.5,4.2,0.022,13479.8,0,0,0
11/2/17,0.8602,98.5,4.2,0.022,13479.8,0,0,0
11/3/17,0.8602,98.5,4.2,0.022,13479.8,0,0,0
11/4/17,0.8602,98.5,4.2,0.022,13479.8,0,0,0
11/5/17,0.8602,98.5,4.2,0.022,13479.8,0,0,0
11/6/17,0.8602,98.5,4.2,0.022,13479.8,0,0,0
11/7/17,0.8602,98.5,4.2,0.022,13479.8,0,0,0
11/8/17,0.8602,98.5,4.2,0.022,13479.8,0,0,0
11/9/17,0.8602,98.5,4.2,0.022,13479.8,0,0,0
11/10/17,0.8602,98.5,4.2,0.022,13479.8,0,0,0
11/11/17,0.8602,98.5,4.2,0.022,13479.8,0,0,0
11/12/17,0.8602,98.5,4.2,0.022,13479.8,0,0,0
11/13/17,0.8602,98.5,4.2,0.022,13479.8,0,0,0
11/14/17,0.8602,98.5,4.2,0.022,13479.8,0,0,0
11/15/17,0.8602,98.5,4.2,0.022,13479.8,0,0,1
11/16/17,0.8602,98.5,4.2,0.022,13479.8,0,0,1
11/17/17,0.8602,98.5,4.2,0.022,13479.8,0,0,1
11/18/17,0.8602,98.5,4.2,0.022,13479.8,0,0,1
11/19/17,0.8602,98.5,4.2,0.022,13479.8,0,0,1
11/20/17,0.8602,98.5,4.2,0.022,13479.8,0,0,1
11/21/17,0.8602,98.5,4.2,0.022,13479.8,0,0,1
11/22/17,0.8602,98.5,4.2,0.022,13479.8,0,0,1
11/23/17,0.8602,98.5,4.2,0.022,13479.8,0,0,1
11/24/17,0.8602,98.5,4.2,0.022,13479.8,0,0,1
11/25/17,0.8602,98.5,4.2,0.022,13479.8,0,0,1
11/26/17,0.8602,98.5,4.2,0.022,13479.8,0,0,1
11/27/17,0.8602,98.5,4.2,0.022,13479.8,0,0,1
11/28/17,0.8602,98.5,4.2,0.022,13479.8,0,0,1
11/29/17,0.8602,98.5,4.2,0.022,13479.8,0,0,1
11/30/17,0.8602,98.5,4.2,0.022,13479.8,0,0,1
12/1/17,0.7098,95.9,4.1,0.0211,13609,0,0,1
12/2/17,0.7098,95.9,4.1,0.0211,13609,0,0,1
12/3/17,0.7098,95.9,4.1,0.0211,13609,0,0,1
12/4/17,0.7098,95.9,4.1,0.0211,13609,0,0,1
12/5/17,0.7098,95.9,4.1,0.0211,13609,0,0,1
12/6/17,0.7098,95.9,4.1,0.0211,13609,0,0,1
12/7/17,0.7098,95.9,4.1,0.0211,13609,0,0,1
12/8/17,0.7098,95.9,4.1,0.0211,13609,0,0,1
12/9/17,0.7098,95.9,4.1,0.0211,13609,0,0,1
12/10/17,0.7098,95.9,4.1,0.0211,13609,0,0,1
12/11/17,0.7098,95.9,4.1,0.0211,13609,0,0,1
12/12/17,0.7098,95.9,4.1,0.0211,13609,0,0,1
12/13/17,0.7098,95.9,4.1,0.0211,13609,0,0,1
12/14/17,0.7098,95.9,4.1,0.0211,13609,0,0,1
12/15/17,0.7098,95.9,4.1,0.0211,13609,0,0,1
12/16/17,0.7098,95.9,4.1,0.0211,13609,0,0,1
12/17/17,0.7098,95.9,4.1,0.0211,13609,0,0,1
12/18/17,0.7098,95.9,4.1,0.0211,13609,0,0,1
12/19/17,0.7098,95.9,4.1,0.0211,13609,0,0,1
12/20/17,0.7098,95.9,4.1,0.0211,13609,0,0,1
12/21/17,0.7098,95.9,4.1,0.0211,13609,0,0,1
12/22/17,0.7098,95.9,4.1,0.0211,13609,0,0,1
12/23/17,0.7098,95.9,4.1,0.0211,13609,0,0,1
12/24/17,0.7098,95.9,4.1,0.0211,13609,0,0,1
12/25/17,0.7098,95.9,4.1,0.0211,13609,0,0,1
12/26/17,0.7098,95.9,4.1,0.0211,13609,0,0,1
12/27/17,0.7098,95.9,4.1,0.0211,13609,0,0,1
12/28/17,0.7098,95.9,4.1,0.0211,13609,0,0,1
12/29/17,0.7098,95.9,4.1,0.0211,13609,0,0,1
12/30/17,0.7098,95.9,4.1,0.0211,13609,0,0,1
12/31/17,0.7098,95.9,4.1,0.0211,13609,0,0,1
1/1/18,0.6012,95.7,4,0.0207,13628.4,0,0,1
1/2/18,0.6012,95.7,4,0.0207,13628.4,0,0,1
1/3/18,0.6012,95.7,4,0.0207,13628.4,0,1,1
1/4/18,0.6012,95.7,4,0.0207,13628.4,0,1,1
1/5/18,0.6012,95.7,4,0.0207,13628.4,0,1,1
1/6/18,0.6012,95.7,4,0.0207,13628.4,0,0,0
1/7/18,0.6012,95.7,4,0.0207,13628.4,0,0,0
1/8/18,0.6012,95.7,4,0.0207,13628.4,0,0,0
1/9/18,0.6012,95.7,4,0.0207,13628.4,0,0,0
1/10/18,0.6012,95.7,4,0.0207,13628.4,0,0,0
1/11/18,0.6012,95.7,4,0.0207,13628.4,0,0,0
1/12/18,0.6012,95.7,4,0.0207,13628.4,0,0,0
1/13/18,0.6012,95.7,4,0.0207,13628.4,0,0,0
1/14/18,0.6012,95.7,4,0.0207,13628.4,0,0,0
1/15/18,0.6012,95.7,4,0.0207,13628.4,0,0,0
1/16/18,0.6012,95.7,4,0.0207,13628.4,0,0,0
1/17/18,0.6012,95.7,4,0.0207,13628.4,0,0,0
1/18/18,0.6012,95.7,4,0.0207,13628.4,0,0,0
1/19/18,0.6012,95.7,4,0.0207,13628.4,0,0,0
1/20/18,0.6012,95.7,4,0.0207,13628.4,0,0,0
1/21/18,0.6012,95.7,4,0.0207,13628.4,0,0,0
1/22/18,0.6012,95.7,4,0.0207,13628.4,0,0,0
1/23/18,0.6012,95.7,4,0.0207,13628.4,0,0,0
1/24/18,0.6012,95.7,4,0.0207,13628.4,0,0,0
1/25/18,0.6012,95.7,4,0.0207,13628.4,0,0,0
1/26/18,0.6012,95.7,4,0.0207,13628.4,0,0,0
1/27/18,0.6012,95.7,4,0.0207,13628.4,0,0,0
1/28/18,0.6012,95.7,4,0.0207,13628.4,0,0,0
1/29/18,0.6012,95.7,4,0.0207,13628.4,0,0,0
1/30/18,0.6012,95.7,4,0.0207,13628.4,0,0,0
1/31/18,0.6012,95.7,4,0.0207,13628.4,0,0,0
2/1/18,0.1169,99.7,4.1,0.0221,13668.3,0,0,0
2/2/18,0.1169,99.7,4.1,0.0221,13668.3,0,0,0
2/3/18,0.1169,99.7,4.1,0.0221,13668.3,0,0,0
2/4/18,0.1169,99.7,4.1,0.0221,13668.3,0,0,0
2/5/18,0.1169,99.7,4.1,0.0221,13668.3,0,0,0
2/6/18,0.1169,99.7,4.1,0.0221,13668.3,0,0,0
2/7/18,0.1169,99.7,4.1,0.0221,13668.3,0,0,0
2/8/18,0.1169,99.7,4.1,0.0221,13668.3,0,0,0
2/9/18,0.1169,99.7,4.1,0.0221,13668.3,0,0,0
2/10/18,0.1169,99.7,4.1,0.0221,13668.3,0,0,1
2/11/18,0.1169,99.7,4.1,0.0221,13668.3,0,0,1
2/12/18,0.1169,99.7,4.1,0.0221,13668.3,0,0,1
2/13/18,0.1169,99.7,4.1,0.0221,13668.3,0,0,1
2/14/18,0.1169,99.7,4.1,0.0221,13668.3,0,0,1
2/15/18,0.1169,99.7,4.1,0.0221,13668.3,0,0,0
2/16/18,0.1169,99.7,4.1,0.0221,13668.3,0,0,0
2/17/18,0.1169,99.7,4.1,0.0221,13668.3,0,0,0
2/18/18,0.1169,99.7,4.1,0.0221,13668.3,0,0,0
2/19/18,0.1169,99.7,4.1,0.0221,13668.3,0,0,0
2/20/18,0.1169,99.7,4.1,0.0221,13668.3,0,0,0
2/21/18,0.1169,99.7,4.1,0.0221,13668.3,0,0,0
2/22/18,0.1169,99.7,4.1,0.0221,13668.3,0,0,0
2/23/18,0.1169,99.7,4.1,0.0221,13668.3,0,0,0
2/24/18,0.1169,99.7,4.1,0.0221,13668.3,0,0,0
2/25/18,0.1169,99.7,4.1,0.0221,13668.3,0,0,0
2/26/18,0.1169,99.7,4.1,0.0221,13668.3,0,0,0
2/27/18,0.1169,99.7,4.1,0.0221,13668.3,0,0,0
2/28/18,0.1169,99.7,4.1,0.0221,13668.3,0,0,0
3/1/18,0.4719,101.4,4,0.0236,13735.4,0,1,0
3/2/18,0.4719,101.4,4,0.0236,13735.4,0,1,0
3/3/18,0.4719,101.4,4,0.0236,13735.4,0,1,0
3/4/18,0.4719,101.4,4,0.0236,13735.4,0,0,0
3/5/18,0.4719,101.4,4,0.0236,13735.4,0,0,0
3/6/18,0.4719,101.4,4,0.0236,13735.4,0,0,0
3/7/18,0.4719,101.4,4,0.0236,13735.4,0,0,0
3/8/18,0.4719,101.4,4,0.0236,13735.4,0,0,0
3/9/18,0.4719,101.4,4,0.0236,13735.4,0,0,0
3/10/18,0.4719,101.4,4,0.0236,13735.4,0,0,0
3/11/18,0.4719,101.4,4,0.0236,13735.4,0,0,0
3/12/18,0.4719,101.4,4,0.0236,13735.4,0,0,0
3/13/18,0.4719,101.4,4,0.0236,13735.4,0,0,0
3/14/18,0.4719,101.4,4,0.0236,13735.4,0,0,0
3/15/18,0.4719,101.4,4,0.0236,13735.4,0,0,0
3/16/18,0.4719,101.4,4,0.0236,13735.4,0,0,0
3/17/18,0.4719,101.4,4,0.0236,13735.4,0,0,0
3/18/18,0.4719,101.4,4,0.0236,13735.4,0,1,0
3/19/18,0.4719,101.4,4,0.0236,13735.4,0,1,0
3/20/18,0.4719,101.4,4,0.0236,13735.4,0,1,0
3/21/18,0.4719,101.4,4,0.0236,13735.4,0,1,0
3/22/18,0.4719,101.4,4,0.0236,13735.4,0,0,0
3/23/18,0.4719,101.4,4,0.0236,13735.4,0,0,0
3/24/18,0.4719,101.4,4,0.0236,13735.4,0,0,0
3/25/18,0.4719,101.4,4,0.0236,13735.4,0,0,0
3/26/18,0.4719,101.4,4,0.0236,13735.4,0,0,0
3/27/18,0.4719,101.4,4,0.0236,13735.4,0,0,0
3/28/18,0.4719,101.4,4,0.0236,13735.4,0,0,1
3/29/18,0.4719,101.4,4,0.0236,13735.4,0,0,1
3/30/18,0.4719,101.4,4,0.0236,13735.4,0,0,1
3/31/18,0.4719,101.4,4,0.0236,13735.4,0,0,1
4/1/18,0.5598,98.8,4,0.0246,13792.1,0,0,1
4/2/18,0.5598,98.8,4,0.0246,13792.1,0,0,0
4/3/18,0.5598,98.8,4,0.0246,13792.1,0,0,0
4/4/18,0.5598,98.8,4,0.0246,13792.1,0,0,0
4/5/18,0.5598,98.8,4,0.0246,13792.1,0,0,0
4/6/18,0.5598,98.8,4,0.0246,13792.1,0,0,0
4/7/18,0.5598,98.8,4,0.0246,13792.1,0,0,0
4/8/18,0.5598,98.8,4,0.0246,13792.1,0,0,0
4/9/18,0.5598,98.8,4,0.0246,13792.1,0,0,0
4/10/18,0.5598,98.8,4,0.0246,13792.1,0,0,0
4/11/18,0.5598,98.8,4,0.0246,13792.1,0,0,0
4/12/18,0.5598,98.8,4,0.0246,13792.1,0,0,0
4/13/18,0.5598,98.8,4,0.0246,13792.1,0,1,0
4/14/18,0.5598,98.8,4,0.0246,13792.1,0,1,0
4/15/18,0.5598,98.8,4,0.0246,13792.1,0,1,0
4/16/18,0.5598,98.8,4,0.0246,13792.1,0,1,0
4/17/18,0.5598,98.8,4,0.0246,13792.1,0,0,0
4/18/18,0.5598,98.8,4,0.0246,13792.1,0,0,0
4/19/18,0.5598,98.8,4,0.0246,13792.1,0,0,0
4/20/18,0.5598,98.8,4,0.0246,13792.1,0,0,0
4/21/18,0.5598,98.8,4,0.0246,13792.1,0,0,0
4/22/18,0.5598,98.8,4,0.0246,13792.1,0,0,0
4/23/18,0.5598,98.8,4,0.0246,13792.1,0,0,0
4/24/18,0.5598,98.8,4,0.0246,13792.1,0,0,0
4/25/18,0.5598,98.8,4,0.0246,13792.1,0,0,0
4/26/18,0.5598,98.8,4,0.0246,13792.1,0,0,0
4/27/18,0.5598,98.8,4,0.0246,13792.1,0,0,0
4/28/18,0.5598,98.8,4,0.0246,13792.1,0,0,0
4/29/18,0.5598,98.8,4,0.0246,13792.1,0,0,0
4/30/18,0.5598,98.8,4,0.0246,13792.1,0,0,0
5/1/18,0.3716,98,3.8,0.028,13860.2,0,1,0
5/2/18,0.3716,98,3.8,0.028,13860.2,0,1,0
5/3/18,0.3716,98,3.8,0.028,13860.2,0,1,0
5/4/18,0.3716,98,3.8,0.028,13860.2,0,1,0
5/5/18,0.3716,98,3.8,0.028,13860.2,0,0,0
5/6/18,0.3716,98,3.8,0.028,13860.2,0,0,0
5/7/18,0.3716,98,3.8,0.028,13860.2,0,0,0
5/8/18,0.3716,98,3.8,0.028,13860.2,0,0,0
5/9/18,0.3716,98,3.8,0.028,13860.2,0,0,0
5/10/18,0.3716,98,3.8,0.028,13860.2,0,0,0
5/11/18,0.3716,98,3.8,0.028,13860.2,0,0,0
5/12/18,0.3716,98,3.8,0.028,13860.2,0,0,0
5/13/18,0.3716,98,3.8,0.028,13860.2,0,1,0
5/14/18,0.3716,98,3.8,0.028,13860.2,0,1,0
5/15/18,0.3716,98,3.8,0.028,13860.2,0,1,0
5/16/18,0.3716,98,3.8,0.028,13860.2,0,0,0
5/17/18,0.3716,98,3.8,0.028,13860.2,0,0,0
5/18/18,0.3716,98,3.8,0.028,13860.2,0,0,0
5/19/18,0.3716,98,3.8,0.028,13860.2,0,0,0
5/20/18,0.3716,98,3.8,0.028,13860.2,0,0,0
5/21/18,0.3716,98,3.8,0.028,13860.2,0,0,0
5/22/18,0.3716,98,3.8,0.028,13860.2,0,0,0
5/23/18,0.3716,98,3.8,0.028,13860.2,0,0,0
5/24/18,0.3716,98,3.8,0.028,13860.2,0,0,0
5/25/18,0.3716,98,3.8,0.028,13860.2,0,0,0
5/26/18,0.3716,98,3.8,0.028,13860.2,0,0,0
5/27/18,0.3716,98,3.8,0.028,13860.2,0,0,0
5/28/18,0.3716,98,3.8,0.028,13860.2,0,0,0
5/29/18,0.3716,98,3.8,0.028,13860.2,0,0,0
5/30/18,0.3716,98,3.8,0.028,13860.2,0,0,0
5/31/18,0.3716,98,3.8,0.028,13860.2,0,0,0
6/1/18,0.4148,98.2,4,0.0287,13900.2,0,0,0
6/2/18,0.4148,98.2,4,0.0287,13900.2,0,0,0
6/3/18,0.4148,98.2,4,0.0287,13900.2,0,0,0
6/4/18,0.4148,98.2,4,0.0287,13900.2,0,0,0
6/5/18,0.4148,98.2,4,0.0287,13900.2,0,0,0
6/6/18,0.4148,98.2,4,0.0287,13900.2,0,1,0
6/7/18,0.4148,98.2,4,0.0287,13900.2,0,0,0
6/8/18,0.4148,98.2,4,0.0287,13900.2,0,0,0
6/9/18,0.4148,98.2,4,0.0287,13900.2,0,0,0
6/10/18,0.4148,98.2,4,0.0287,13900.2,0,0,0
6/11/18,0.4148,98.2,4,0.0287,13900.2,0,0,0
6/12/18,0.4148,98.2,4,0.0287,13900.2,0,0,0
6/13/18,0.4148,98.2,4,0.0287,13900.2,0,1,0
6/14/18,0.4148,98.2,4,0.0287,13900.2,0,0,0
6/15/18,0.4148,98.2,4,0.0287,13900.2,0,0,0
6/16/18,0.4148,98.2,4,0.0287,13900.2,0,0,0
6/17/18,0.4148,98.2,4,0.0287,13900.2,0,0,0
6/18/18,0.4148,98.2,4,0.0287,13900.2,0,1,0
6/19/18,0.4148,98.2,4,0.0287,13900.2,0,1,0
6/20/18,0.4148,98.2,4,0.0287,13900.2,0,0,0
6/21/18,0.4148,98.2,4,0.0287,13900.2,0,0,0
6/22/18,0.4148,98.2,4,0.0287,13900.2,0,0,0
6/23/18,0.4148,98.2,4,0.0287,13900.2,0,0,0
6/24/18,0.4148,98.2,4,0.0287,13900.2,0,0,0
6/25/18,0.4148,98.2,4,0.0287,13900.2,0,0,0
6/26/18,0.4148,98.2,4,0.0287,13900.2,0,0,0
