Month,Global Supply Chain Pressure Index
2017-01-31,0.2008
2017-02-28,0.2213
2017-03-31,0.1128
2017-04-30,0.0502
2017-05-31,-0.0815
2017-06-30,0.1432
2017-07-31,0.1461
2017-08-31,0.4416
2017-09-30,0.5476
2017-10-31,0.803
2017-11-30,0.8602
2017-12-31,0.7098
2018-01-31,0.6012
2018-02-28,0.1169
2018-03-31,0.4719
2018-04-30,0.5598
2018-05-31,0.3716
2018-06-30,0.4148
2018-07-31,0.4282
2018-08-31,0.5329
2018-09-30,0.4733
2018-10-31,0.534
2018-11-30,0.4362
2018-12-31,0.4468
2019-01-31,0.5205
2019-02-28,0.1204
2019-03-31,0.2003
2019-04-30,0.0211
2019-05-31,-0.6494
2019-06-30,-0.4911
2019-07-31,-0.4554
2019-08-31,-0.3271
2019-09-30,0.1066
2019-10-31,0.0345
2019-11-30,0.0964
2019-12-31,0.0074
2020-01-31,0.0434
2020-02-29,1.103
2020-03-31,2.462
2020-04-30,3.095
2020-05-31,2.554
2020-06-30,2.298
2020-07-31,2.798
2020-08-31,1.333
2020-09-30,0.5992
2020-10-31,0.1016
2020-11-30,0.687
2020-12-31,1.632
2021-01-31,1.302
2021-02-28,1.904
2021-03-31,2.207
2021-04-30,2.926
2021-05-31,2.994
2021-06-30,2.725
2021-07-31,2.452
2021-08-31,3.244
2021-09-30,3.258
2021-10-31,4.12
2021-11-30,4.23
2021-12-31,4.298
2022-01-31,3.588
2022-02-28,2.741
2022-03-31,2.762
2022-04-30,3.292
2022-05-31,2.648
2022-06-30,2.351
2022-07-31,1.784
2022-08-31,1.466
2022-09-30,0.9366
2022-10-31,1.119
2022-11-30,1.228
2022-12-31,1.181